id,title,description,availability,condition,price,link,image_link,brand,product_type
1,Kingdom Kit,"Personalised beard care gift set. Name printed on the bottle, full kit personalisation available on request.",in stock,new,300.00 ZAR,https://kadashgifts.co.za/#gift-1,https://kadashgifts.co.za/images/kingdom-kit.jpg,Kadash Gifts,Christian Gifts > Father's Day > For Him
2,The Urban Gentleman Set,"A refined gift set for the man who means business. Choose your tier, from a personalised travel mug up to the full executive bundle.",in stock,new,200.00 ZAR,https://kadashgifts.co.za/#gift-2,https://kadashgifts.co.za/images/Urban-gentlemen-1.jpg,Kadash Gifts,Father's Day > For Him
3,The Executives Lunch Set,"A smart, personalised lunch set for the working man. Build the bundle that fits your budget.",in stock,new,250.00 ZAR,https://kadashgifts.co.za/#gift-3,https://kadashgifts.co.za/images/The-executives-lunch-set-1.jpg,Kadash Gifts,Father's Day > For Him
4,The Reset Set,"For the dad who deserves to rest. A personalised relaxation set, choose the level of luxury.",in stock,new,270.00 ZAR,https://kadashgifts.co.za/#gift-4,https://kadashgifts.co.za/images/The-reset-set-1.jpg,Kadash Gifts,Best Sellers > Father's Day > For Him
5,Kingdom Man Bible Set,"Personalised Bible, notebook, mug, and pen, every piece carrying his name.",in stock,new,600.00 ZAR,https://kadashgifts.co.za/#gift-5,https://kadashgifts.co.za/images/bible_notebook_pen_mug.jpg,Kadash Gifts,Gift Boxes & Hampers > Christian Gifts > Father's Day > For Him
6,Football Set,"Personalised mug, mug box, and flask with matching gift bag, all printed in his favourite team's colours.",in stock,new,450.00 ZAR,https://kadashgifts.co.za/#gift-6,https://kadashgifts.co.za/images/football-set.jpg,Kadash Gifts,Gift Boxes & Hampers > Father's Day > For Him
7,Personalised Toolbox Set,"A personalised toolbox set, built for the man who fixes everything.",in stock,new,500.00 ZAR,https://kadashgifts.co.za/#gift-7,https://kadashgifts.co.za/images/toolbox-set.jpg,Kadash Gifts,Gift Boxes & Hampers > Father's Day > For Him
8,Personalised Braai Master Dad Set,"His name on the apron, his tools in hand. The ultimate gift for the man who rules the fire.",in stock,new,380.00 ZAR,https://kadashgifts.co.za/#gift-8,https://kadashgifts.co.za/images/braai_master.jpg,Kadash Gifts,Best Sellers > Father's Day > For Him
9,Personalised Travel & Gym Bag,"Built for the man always on the move. A quality bag personalised with his name, from the gym to the weekend away.",in stock,new,500.00 ZAR,https://kadashgifts.co.za/#gift-9,https://kadashgifts.co.za/images/travel_gym_sports_bag.jpg,Kadash Gifts,Father's Day > For Him
10,Personalised Thermo Display Flask,"A personalised flask with a temperature display built into the lid, so their drink is always just right. Sleek, functional, and entirely theirs. Dishwasher safe.",in stock,new,300.00 ZAR,https://kadashgifts.co.za/#gift-10,https://kadashgifts.co.za/images/flask_thermometer.jpg,Kadash Gifts,Father's Day > For Him > Mugs & Bottles
11,Personalised Dad Socks,"His favourite scripture, his nickname, or a message only he'll understand, sublimation-printed on soft polyester. Moisture-wicking and quick-drying, they pull sweat away two to three times faster than cotton, hard-wearing and colour-fast from the gym to everyday wear.",in stock,new,150.00 ZAR,https://kadashgifts.co.za/#gift-11,https://kadashgifts.co.za/images/dad_socks.jpg,Kadash Gifts,Christian Gifts > Father's Day > For Him
12,Personalised Wooden Cutting Board,"A quality wooden cutting board engraved with his name or a meaningful message. Built to last, made to matter.",in stock,new,250.00 ZAR,https://kadashgifts.co.za/#gift-12,https://kadashgifts.co.za/images/personalised_wooden_cutting-board.jpg,Kadash Gifts,Father's Day > For Him > Home & Living
13,Personalised Hip Flask,Pocket-sized and personal. Engraved with his name or a message for the man who appreciates the finer things.,in stock,new,200.00 ZAR,https://kadashgifts.co.za/#gift-13,https://kadashgifts.co.za/images/personalised_hip_flask.jpg,Kadash Gifts,Father's Day > For Him
14,Personalised Wallet,"A wallet personalised with his favourite scripture or a message that speaks to who he is, carried with him every day.",in stock,new,250.00 ZAR,https://kadashgifts.co.za/#gift-14,https://kadashgifts.co.za/images/personalised_wallet_1.jpg,Kadash Gifts,Christian Gifts > Father's Day > For Him
15,Personalised Lighter,Small but significant. A personalised lighter engraved with his name or a short message he will always carry.,in stock,new,150.00 ZAR,https://kadashgifts.co.za/#gift-15,https://kadashgifts.co.za/images/personalised_lighter.jpg,Kadash Gifts,Father's Day > For Him
16,Personalised Keyring,"Every time he reaches for his keys, he carries a piece of you. A lightweight polymer keyring, sublimation-printed to resist cracking, scratching, and fading, so it lasts as long as the sentiment.",in stock,new,90.00 ZAR,https://kadashgifts.co.za/#gift-16,https://kadashgifts.co.za/images/personalised_keyring.jpg,Kadash Gifts,Father's Day > For Him
17,The Cap & Crew Set,"A durable, flexible trucker cap with a keyring, coaster, and mug, a full lifestyle set for the man who moves with style. Everything personalised, nothing generic.",in stock,new,580.00 ZAR,https://kadashgifts.co.za/#gift-17,https://kadashgifts.co.za/images/cap_set.jpg,Kadash Gifts,Gift Boxes & Hampers > Father's Day > For Him
18,The Glam Girl Set,"She deserves to feel seen. A personalised compact mirror and bamboo sippy cup, because the woman who gives everything should have something made just for her.",in stock,new,550.00 ZAR,https://kadashgifts.co.za/#gift-18,https://kadashgifts.co.za/images/make_upset.jpg,Kadash Gifts,Mother's Day > For Her
